index,dateTime,calories,heart_rate,confidence,steps/min,distance/min,Voltage,Temperature
0,01/14/20 00:36:00,1.28,82,1,11,86.90869087,12.9,15.867
1,01/14/20 00:37:00,1.28,91,1,9,71.50715072,12.9,15.867
2,01/14/20 00:38:00,1.28,96,0,17,135.3135314,12.9,15.867
3,01/14/20 01:00:00,1.28,70,0,0,0,12.9,15.867
4,01/14/20 01:09:00,1.28,70,0,0,0,12.38,15.2274
5,01/14/20 01:15:00,1.28,70,0,0,0,12.38,15.2274
6,01/14/20 01:24:00,1.28,70,0,0,0,12.38,15.2274
7,01/14/20 02:12:00,1.28,85,1,0,0,12.38,15.2274
8,01/14/20 02:14:00,1.28,75,1,0,0,12.9,15.867
9,01/14/20 02:33:00,1.28,107,0,76,609.4609461,12.9,15.867
10,01/14/20 02:34:00,1.28,102,0,60,315.7315732,12.9,15.867
11,01/14/20 02:35:00,1.28,87,1,96,713.9713971,12.9,15.867
12,01/14/20 02:37:00,1.28,116,1,109,834.9834983,13.92,17.1216
13,01/14/20 02:38:00,1.28,115,1,111,877.8877888,13.92,17.1216
14,01/14/20 02:40:00,1.28,94,1,111,944.9944994,13.92,17.1216
15,01/14/20 02:43:00,1.28,84,1,106,900.990099,13.92,17.1216
16,01/14/20 02:45:00,1.28,94,1,106,830.5830583,13.15,16.1745
17,01/14/20 02:47:00,1.28,84,1,103,871.2871287,13.15,16.1745
18,01/14/20 02:48:00,1.28,91,1,109,922.9922992,13.15,16.1745
19,01/14/20 02:49:00,1.28,78,1,110,941.6941694,13.15,16.1745
20,01/14/20 02:51:00,1.28,83,1,108,917.4917492,13.92,17.1216
21,01/14/20 02:53:00,1.28,78,1,108,891.0891089,13.92,17.1216
22,01/14/20 02:54:00,1.28,84,2,111,887.7887789,13.92,17.1216
23,01/14/20 02:55:00,1.28,84,2,109,914.1914191,13.92,17.1216
24,01/14/20 02:56:00,1.28,86,1,109,917.4917492,13.41,16.4943
25,01/14/20 03:00:00,1.28,85,1,104,760.1760176,13.41,16.4943
26,01/14/20 03:01:00,1.28,97,1,89,606.1606161,13.41,16.4943
27,01/14/20 03:06:00,1.28,78,2,0,0,13.41,16.4943
28,01/14/20 03:07:00,1.28,74,3,0,0,14.44,17.7612
29,01/14/20 03:08:00,1.28,71,2,0,0,14.44,17.7612
30,01/14/20 03:26:00,1.28,116,1,106,845.9845985,14.44,17.7612
31,01/14/20 03:49:00,1.28,87,1,10,79.20792079,14.44,17.7612
32,01/14/20 03:50:00,1.28,88,1,27,215.6215622,12.13,14.9199
33,01/14/20 03:51:00,1.28,88,1,21,167.2167217,12.13,14.9199
34,01/14/20 04:55:00,1.66,82,3,0,0,12.13,14.9199
35,01/14/20 04:56:00,3.32,79,1,0,0,12.13,14.9199
36,01/14/20 05:24:00,7.41,76,2,0,0,12.64,15.5472
37,01/14/20 05:40:00,6.9,78,3,0,0,12.64,15.5472
38,01/14/20 06:34:00,1.28,69,2,55,438.9438944,12.64,15.5472
39,01/14/20 06:35:00,1.28,73,2,15,118.8118812,12.64,15.5472
40,01/14/20 06:52:00,1.28,85,2,0,0,12.9,15.867
41,01/14/20 06:55:00,1.28,95,2,0,0,12.9,15.867
42,01/14/20 06:56:00,1.28,86,1,0,0,12.9,15.867
43,01/14/20 07:22:00,1.28,100,1,7,55.00550055,12.9,15.867
44,01/14/20 07:31:00,1.28,90,1,41,326.7326733,12.64,15.5472
45,01/14/20 07:32:00,1.28,90,1,60,478.5478548,12.64,15.5472
46,01/14/20 07:48:00,1.41,76,1,16,127.6127613,12.64,15.5472
47,01/14/20 07:49:00,1.66,82,1,0,0,12.64,15.5472
48,01/14/20 07:51:00,1.53,84,1,111,885.5885589,12.13,14.9199
49,01/14/20 07:52:00,1.53,95,0,101,806.3806381,12.13,14.9199
50,01/14/20 07:57:00,3.58,110,0,5,39.6039604,12.13,14.9199
51,01/14/20 07:58:00,1.66,92,2,44,350.9350935,12.13,14.9199
52,01/14/20 07:59:00,1.66,103,2,7,55.00550055,12.38,15.2274
53,01/14/20 08:00:00,4.86,97,1,0,0,12.38,15.2274
54,01/14/20 08:08:00,9.2,82,3,0,0,12.38,15.2274
55,01/14/20 08:09:00,8.69,84,2,0,0,12.38,15.2274
56,01/14/20 08:10:00,8.43,79,1,0,0,12.64,15.5472
57,01/14/20 08:18:00,8.18,82,1,0,0,12.64,15.5472
58,01/14/20 08:19:00,8.43,87,3,0,0,12.64,15.5472
59,01/14/20 08:20:00,8.43,89,1,0,0,12.64,15.5472
60,01/14/20 08:44:00,1.53,78,2,0,0,12.38,15.2274
61,01/14/20 08:45:00,1.53,78,1,0,0,12.38,15.2274
62,01/14/20 08:46:00,1.28,76,2,0,0,12.38,15.2274
63,01/14/20 08:47:00,1.41,74,1,0,0,12.38,15.2274
64,01/14/20 09:05:00,1.53,68,1,0,0,13.67,16.8141
65,01/14/20 09:06:00,1.53,71,1,0,0,13.67,16.8141
66,01/14/20 09:07:00,1.41,75,3,0,0,13.67,16.8141
67,01/14/20 09:22:00,1.66,69,1,28,223.3223322,13.67,16.8141
68,01/14/20 09:24:00,1.66,73,2,8,63.80638064,12.9,15.867
69,01/14/20 09:51:00,1.28,85,1,104,830.5830583,12.9,15.867
70,01/14/20 10:08:00,1.79,68,1,0,0,12.9,15.867
71,01/14/20 10:09:00,5.37,72,1,16,127.6127613,12.9,15.867
72,01/14/20 10:26:00,1.53,67,2,0,0,12.9,15.867
73,01/14/20 10:28:00,1.53,69,2,0,0,12.9,15.867
74,01/14/20 10:35:00,7.67,76,2,0,0,12.9,15.867
75,01/14/20 10:37:00,1.66,72,1,12,95.70957096,12.9,15.867
76,01/14/20 10:47:00,NaN,79,2,0,0,13.15,16.1745
77,01/14/20 10:53:00,1.66,66,3,0,0,13.15,16.1745
78,01/14/20 10:55:00,1.53,73,1,0,0,13.15,16.1745
79,01/14/20 10:56:00,1.53,71,3,0,0,13.15,16.1745
80,01/14/20 11:02:00,1.66,77,3,0,0,12.9,15.867
81,01/14/20 11:04:00,1.53,75,3,0,0,12.9,15.867
82,01/14/20 11:22:00,1.66,73,1,39,311.3311331,12.9,15.867
83,01/14/20 11:24:00,1.41,90,2,14,111.1111111,12.9,15.867
84,01/14/20 11:40:00,1.66,64,2,0,0,13.15,16.1745
85,01/14/20 11:41:00,1.66,64,2,0,0,13.15,16.1745
86,01/14/20 11:47:00,1.66,72,2,0,0,13.15,16.1745
87,01/14/20 11:48:00,1.66,72,2,0,0,13.15,16.1745
88,01/14/20 11:50:00,1.66,77,1,0,0,12.9,15.867
89,01/14/20 12:25:00,1.79,82,1,21,167.2167217,12.9,15.867
90,01/14/20 12:27:00,1.66,79,1,8,63.80638064,12.9,15.867
91,01/14/20 13:33:00,1.79,67,0,91,726.0726073,12.9,15.867
92,01/14/20 13:37:00,1.53,86,3,0,0,13.15,16.1745
93,01/14/20 13:40:00,1.66,83,1,0,0,13.15,16.1745
94,01/14/20 13:58:00,1.66,73,1,0,0,13.15,16.1745
95,01/14/20 14:00:00,1.66,76,1,0,0,13.15,16.1745
96,01/14/20 14:06:00,1.66,76,2,0,0,10.84,13.3332
97,01/14/20 00:36:01,1.53,78,1,6,47.30473047,10.84,13.3332
98,01/14/20 00:37:01,1.920213115,71.25081967,1.631147541,4.396721311,35.07727822,12.89380328,15.85937803
99,01/14/20 00:38:01,1.895465891,70.99397144,1.632998414,4.110735061,32.79735694,12.89790799,15.86442682
100,01/14/20 01:00:01,1.870718667,70.73712322,1.634849286,3.82474881,30.51743567,12.90201269,15.86947561
101,01/14/20 01:09:01,1.845971444,70.48027499,1.636700159,3.538762559,28.23751439,12.9061174,15.8745244
102,01/14/20 01:15:01,1.82122422,70.22342676,1.638551031,3.252776309,25.95759312,12.9102221,15.87957319
103,01/14/20 01:24:01,1.796476996,69.96657853,1.640401904,2.966790058,23.67767184,12.91432681,15.88462198
104,01/14/20 02:12:01,1.771729773,69.7097303,1.642252776,2.680803808,21.39775056,12.91843152,15.88967077
105,01/14/20 02:14:01,1.746982549,69.45288207,1.644103649,2.394817557,19.11782929,12.92253622,15.89471956
106,01/14/20 02:33:01,1.722235325,69.19603384,1.645954521,2.108831306,16.83790801,12.92664093,15.89976834
107,01/14/20 02:34:01,1.697488102,68.93918562,1.647805394,1.822845056,14.55798673,12.93074564,15.90481713
108,01/14/20 02:35:01,1.672740878,68.68233739,1.649656267,1.536858805,12.27806546,12.93485034,15.90986592
109,01/14/20 02:37:01,1.647993654,68.42548916,1.651507139,1.250872554,9.998144182,12.93895505,15.91491471
110,01/14/20 02:38:01,1.28,82,1,11,86.90869087,12.9,15.867
111,01/14/20 02:40:01,1.28,91,1,9,71.50715072,12.9,15.867
112,01/14/20 02:43:01,1.28,96,0,17,135.3135314,12.9,15.867
113,01/14/20 02:45:01,1.28,70,0,0,0,12.9,15.867
114,01/14/20 02:47:01,1.28,70,0,0,0,12.38,15.2274
115,01/14/20 02:48:01,1.28,70,0,0,0,12.38,15.2274
116,01/14/20 02:49:01,1.28,70,0,0,0,12.38,15.2274
117,01/14/20 02:51:01,1.28,85,1,0,0,12.38,15.2274
118,01/14/20 02:53:01,1.28,75,1,0,0,12.9,15.867
119,01/14/20 02:54:01,1.28,107,0,76,609.4609461,12.9,15.867
120,01/14/20 02:55:01,1.28,102,0,60,315.7315732,12.9,15.867
121,01/14/20 02:56:01,1.28,87,1,96,713.9713971,12.9,15.867
122,01/14/20 03:00:01,1.28,116,1,109,834.9834983,13.92,17.1216
123,01/14/20 03:01:01,1.28,115,1,111,877.8877888,13.92,17.1216
124,01/14/20 03:06:01,1.28,94,1,111,944.9944994,13.92,17.1216
125,01/14/20 03:07:01,1.28,84,1,106,900.990099,13.92,17.1216
126,01/14/20 03:08:01,1.28,94,1,106,830.5830583,13.15,16.1745
127,01/14/20 03:26:01,1.28,84,1,103,871.2871287,13.15,16.1745
128,01/14/20 03:49:01,1.28,91,1,109,922.9922992,13.15,16.1745
129,01/14/20 03:50:01,1.28,78,1,110,941.6941694,13.15,16.1745
130,01/14/20 03:51:01,1.28,83,1,108,917.4917492,13.92,17.1216
131,01/14/20 04:55:01,1.28,78,1,108,891.0891089,13.92,17.1216
132,01/14/20 04:56:01,1.28,84,2,111,887.7887789,13.92,17.1216
133,01/14/20 05:24:01,1.28,84,2,109,914.1914191,13.92,17.1216
134,01/14/20 05:40:01,1.28,86,1,109,917.4917492,13.41,16.4943
135,01/14/20 06:34:01,1.28,85,1,104,760.1760176,13.41,16.4943
136,01/14/20 06:35:01,1.28,97,1,89,606.1606161,13.41,16.4943
137,01/14/20 06:52:01,1.28,78,2,0,0,13.41,16.4943
138,01/14/20 06:55:01,1.28,74,3,0,0,14.44,17.7612
139,01/14/20 06:56:01,1.28,71,2,0,0,14.44,17.7612
140,01/14/20 07:22:01,1.28,116,1,106,845.9845985,14.44,NaN
141,01/14/20 07:31:01,1.28,87,1,10,79.20792079,14.44,NaN
142,01/14/20 07:32:01,1.28,88,1,27,215.6215622,12.13,NaN
143,01/14/20 07:48:01,1.28,88,1,21,167.2167217,12.13,NaN
144,01/14/20 07:49:01,1.66,82,3,0,0,12.13,NaN
145,01/14/20 07:51:01,3.32,79,1,0,0,12.13,NaN
146,01/14/20 07:52:01,7.41,76,2,0,0,12.64,NaN
147,01/14/20 07:57:01,6.9,78,3,0,0,12.64,NaN
148,01/14/20 07:58:01,1.28,69,2,55,438.9438944,12.64,NaN
149,01/14/20 07:59:01,1.28,73,2,15,118.8118812,12.64,NaN
150,01/14/20 08:00:01,1.28,85,2,0,0,12.9,NaN
151,01/14/20 08:08:01,1.28,95,2,0,0,12.9,NaN
152,01/14/20 08:09:01,1.28,86,1,0,0,12.9,NaN
153,01/14/20 08:10:01,1.28,100,1,7,55.00550055,12.9,NaN
154,01/14/20 08:18:01,1.28,90,1,41,326.7326733,12.64,NaN
155,01/14/20 08:19:01,1.28,90,1,60,478.5478548,12.64,NaN
156,01/14/20 08:20:01,1.41,76,1,16,127.6127613,12.64,NaN
157,01/14/20 08:44:01,1.66,82,1,0,0,12.64,NaN
158,01/14/20 08:45:01,1.53,84,1,111,885.5885589,12.13,NaN
159,01/14/20 08:46:01,1.53,95,0,101,806.3806381,12.13,NaN
160,01/14/20 08:47:01,3.58,110,0,5,39.6039604,12.13,NaN
161,01/14/20 09:05:01,1.66,92,2,44,350.9350935,12.13,NaN
162,01/14/20 09:06:01,1.66,103,2,7,55.00550055,12.38,NaN
163,01/14/20 09:07:01,4.86,97,1,0,0,12.38,NaN
164,01/14/20 09:22:01,9.2,82,3,0,0,12.38,NaN
165,01/14/20 09:24:01,8.69,84,2,0,0,12.38,NaN
166,01/14/20 09:51:01,8.43,79,1,0,0,12.64,NaN
167,01/14/20 10:08:01,8.18,82,1,0,0,12.64,NaN
168,01/14/20 10:09:01,8.43,87,3,0,0,12.64,NaN
169,01/14/20 10:26:01,8.43,89,1,0,0,12.64,NaN
170,01/14/20 10:28:01,1.53,78,2,0,0,12.38,NaN
171,01/14/20 10:35:01,1.53,78,1,0,0,12.38,NaN
172,01/14/20 10:37:01,1.28,76,2,0,0,12.38,NaN
173,01/14/20 10:47:01,1.41,74,1,0,0,12.38,NaN
174,01/14/20 10:53:01,1.53,68,1,0,0,13.67,NaN
175,01/14/20 10:55:01,1.53,71,1,0,0,13.67,NaN
176,01/14/20 10:56:01,1.41,75,3,0,0,13.67,NaN
177,01/14/20 11:02:01,1.66,69,1,28,223.3223322,13.67,NaN
178,01/14/20 11:04:01,1.66,73,2,8,63.80638064,12.9,NaN
179,01/14/20 11:22:01,1.28,85,1,104,830.5830583,12.9,15.867
180,01/14/20 11:24:01,1.79,68,1,0,0,12.9,15.867
181,01/14/20 11:40:01,NaN,72,1,16,127.6127613,12.9,15.867
182,01/14/20 11:41:01,1.53,67,2,0,0,12.9,15.867
183,01/14/20 11:47:01,1.53,69,2,0,0,12.9,15.867
184,01/14/20 11:48:01,7.67,76,2,0,0,12.9,15.867
185,01/14/20 11:50:01,1.66,72,1,12,95.70957096,12.9,15.867
186,01/14/20 12:25:01,8.95,79,2,0,0,13.15,16.1745
187,01/14/20 12:27:01,1.66,66,3,0,0,13.15,16.1745
188,01/14/20 13:33:01,1.53,73,1,0,0,13.15,16.1745
189,01/14/20 13:37:01,1.53,71,3,0,0,13.15,16.1745
190,01/14/20 13:40:01,1.66,77,3,0,0,12.9,15.867
191,01/14/20 13:58:01,1.53,75,3,0,0,12.9,15.867
192,01/14/20 14:00:01,1.66,73,1,39,311.3311331,12.9,15.867
193,01/14/20 14:06:01,1.41,90,2,14,111.1111111,12.9,15.867
194,01/14/20 00:36:02,1.66,64,2,0,0,13.15,16.1745
195,01/14/20 00:37:02,1.66,64,2,0,0,13.15,16.1745
196,01/14/20 00:38:02,1.66,72,2,0,0,13.15,16.1745
197,01/14/20 01:00:02,1.66,72,2,0,0,13.15,16.1745
198,01/14/20 01:09:02,1.66,77,1,0,0,12.9,15.867
199,01/14/20 01:15:02,1.79,82,1,21,167.2167217,12.9,15.867
200,01/14/20 01:24:02,1.66,79,1,8,63.80638064,12.9,15.867
201,01/14/20 02:12:02,1.79,67,0,91,726.0726073,12.9,15.867
202,01/14/20 02:14:02,1.53,86,3,0,0,13.15,16.1745
203,01/14/20 02:33:02,1.66,83,1,0,0,13.15,16.1745
204,01/14/20 02:34:02,1.66,73,1,0,0,13.15,16.1745
205,01/14/20 02:35:02,1.66,76,1,0,0,13.15,16.1745
206,01/14/20 02:37:02,1.66,76,2,0,0,10.84,13.3332
207,01/14/20 02:38:02,1.53,78,1,6,47.30473047,10.84,13.3332
208,01/14/20 02:40:02,1.28,82,1,11,86.90869087,12.9,15.867
209,01/14/20 02:43:02,1.28,91,1,9,71.50715072,12.9,15.867
210,01/14/20 02:45:02,1.28,96,0,17,135.3135314,12.9,15.867
211,01/14/20 02:47:02,1.28,70,0,0,0,12.9,15.867
212,01/14/20 02:48:02,1.28,70,0,0,0,12.38,15.2274
213,01/14/20 02:49:02,1.28,70,0,0,0,12.38,15.2274
214,01/14/20 02:51:02,1.28,70,0,0,0,12.38,15.2274
215,01/14/20 02:53:02,1.28,85,1,0,0,12.38,15.2274
216,01/14/20 02:54:02,1.28,75,1,0,0,12.9,15.867
217,01/14/20 02:55:02,1.28,107,0,76,609.4609461,12.9,15.867
218,01/14/20 02:56:02,1.28,102,0,60,315.7315732,12.9,15.867
219,01/14/20 03:00:02,1.28,87,1,96,713.9713971,12.9,15.867
220,01/14/20 03:01:02,1.28,116,1,109,834.9834983,13.92,17.1216
221,01/14/20 03:06:02,1.28,115,1,111,877.8877888,13.92,17.1216
222,01/14/20 03:07:02,1.28,94,1,111,944.9944994,13.92,17.1216
223,01/14/20 03:08:02,1.28,84,1,106,900.990099,13.92,17.1216
224,01/14/20 03:26:02,1.28,94,1,106,830.5830583,13.15,16.1745
225,01/14/20 03:49:02,1.28,84,1,103,871.2871287,13.15,16.1745
226,01/14/20 03:50:02,1.28,91,1,109,922.9922992,13.15,16.1745
227,01/14/20 03:51:02,1.28,78,1,110,941.6941694,13.15,16.1745
228,01/14/20 04:55:02,1.28,83,1,108,917.4917492,13.92,17.1216
229,01/14/20 04:56:02,1.28,78,1,108,NaN,13.92,17.1216
230,01/14/20 05:24:02,1.28,84,2,111,887.7887789,13.92,17.1216
231,01/14/20 05:40:02,1.28,84,2,109,914.1914191,13.92,17.1216
232,01/14/20 06:34:02,1.28,86,1,109,917.4917492,13.41,16.4943
233,01/14/20 06:35:02,1.28,85,1,104,760.1760176,13.41,16.4943
234,01/14/20 06:52:02,1.28,97,1,89,606.1606161,13.41,16.4943
235,01/14/20 06:55:02,1.28,78,2,0,0,13.41,16.4943
236,01/14/20 06:56:02,1.28,74,3,0,0,14.44,17.7612
237,01/14/20 07:22:02,1.28,71,2,0,0,14.44,17.7612
238,01/14/20 07:31:02,1.28,116,1,106,845.9845985,14.44,17.7612
239,01/14/20 07:32:02,1.28,87,1,10,79.20792079,14.44,17.7612
240,01/14/20 07:48:02,1.28,88,1,27,215.6215622,12.13,14.9199
241,01/14/20 07:49:02,1.28,88,1,21,167.2167217,12.13,14.9199
242,01/14/20 07:51:02,1.66,82,3,0,0,12.13,14.9199
243,01/14/20 07:52:02,3.32,79,1,0,0,12.13,14.9199
244,01/14/20 07:57:02,7.41,76,2,0,0,12.64,15.5472
245,01/14/20 07:58:02,6.9,78,3,0,0,12.64,15.5472
246,01/14/20 07:59:02,1.28,69,2,55,438.9438944,12.64,15.5472
247,01/14/20 08:00:02,1.28,73,2,15,118.8118812,12.64,15.5472
248,01/14/20 08:08:02,1.28,85,2,0,0,12.9,15.867
249,01/14/20 08:09:02,1.28,95,2,0,0,12.9,15.867
250,01/14/20 08:10:02,1.28,86,1,0,0,12.9,15.867
251,01/14/20 08:18:02,1.28,100,1,7,55.00550055,12.9,15.867
252,01/14/20 08:19:02,1.28,90,1,41,326.7326733,12.64,15.5472
253,01/14/20 08:20:02,1.28,90,1,60,478.5478548,12.64,15.5472
254,01/14/20 08:44:02,1.41,76,NaN,16,127.6127613,12.64,15.5472
255,01/14/20 08:45:02,1.66,82,1,0,0,12.64,15.5472
256,01/14/20 08:46:02,1.53,84,1,111,885.5885589,12.13,14.9199
257,01/14/20 08:47:02,1.53,95,0,101,806.3806381,12.13,14.9199
258,01/14/20 09:05:02,3.58,110,0,5,39.6039604,12.13,14.9199
259,01/14/20 09:06:02,1.66,92,2,44,350.9350935,12.13,14.9199
260,01/14/20 09:07:02,1.66,103,2,7,55.00550055,12.38,15.2274
261,01/14/20 09:22:02,4.86,97,1,0,0,12.38,15.2274
262,01/14/20 09:24:02,9.2,82,3,0,0,12.38,15.2274
263,01/14/20 09:51:02,8.69,84,2,0,0,12.38,15.2274
264,01/14/20 10:08:02,8.43,79,1,0,0,12.64,15.5472
265,01/14/20 10:09:02,8.18,82,1,0,0,12.64,15.5472
266,01/14/20 10:26:02,8.43,87,3,0,0,12.64,15.5472
267,01/14/20 10:28:02,8.43,89,1,0,0,12.64,15.5472
268,01/14/20 10:35:02,1.53,78,2,0,0,12.38,15.2274
269,01/14/20 10:37:02,1.53,78,1,0,0,12.38,15.2274
270,01/14/20 10:47:02,1.28,76,2,0,0,12.38,15.2274
271,01/14/20 10:53:02,1.41,74,1,0,0,12.38,15.2274
272,01/14/20 10:55:02,1.53,68,1,0,0,13.67,16.8141
273,01/14/20 10:56:02,1.53,71,1,0,0,13.67,16.8141
274,01/14/20 11:02:02,1.41,75,3,0,0,13.67,16.8141
275,01/14/20 11:04:02,1.66,69,1,28,223.3223322,13.67,16.8141
276,01/14/20 11:22:02,1.66,73,2,8,63.80638064,12.9,15.867
277,01/14/20 11:24:02,1.28,85,1,104,830.5830583,12.9,15.867
278,01/14/20 11:40:02,1.79,68,1,0,0,12.9,15.867
279,01/14/20 11:41:02,5.37,72,1,16,127.6127613,12.9,15.867
280,01/14/20 11:47:02,1.53,67,2,0,0,12.9,15.867
281,01/14/20 11:48:02,1.53,69,2,0,0,12.9,15.867
282,01/14/20 11:50:02,7.67,76,2,0,0,12.9,15.867
283,01/14/20 12:25:02,1.66,72,1,12,95.70957096,12.9,15.867
284,01/14/20 12:27:02,8.95,79,2,0,0,13.15,16.1745
285,01/14/20 13:33:02,1.66,66,3,0,0,13.15,16.1745
286,01/14/20 13:37:02,1.53,73,1,0,0,13.15,16.1745
287,01/14/20 13:40:02,1.53,71,3,0,0,13.15,16.1745
288,01/14/20 13:58:02,1.66,77,3,0,0,12.9,15.867
289,01/14/20 14:00:02,1.53,75,3,0,0,12.9,15.867
290,01/14/20 14:06:02,1.66,73,1,39,311.3311331,12.9,15.867
291,01/14/20 00:36:03,1.41,90,2,14,111.1111111,12.9,15.867
292,01/14/20 00:37:03,1.66,64,2,0,0,13.15,16.1745
293,01/14/20 00:38:03,1.66,64,2,0,0,13.15,16.1745
294,01/14/20 01:00:03,1.66,72,2,0,0,13.15,16.1745
295,01/14/20 01:09:03,1.66,72,2,0,0,13.15,16.1745
296,01/14/20 01:15:03,1.66,77,1,0,0,12.9,15.867
297,01/14/20 01:24:03,1.79,82,1,21,167.2167217,12.9,15.867
298,01/14/20 02:12:03,1.66,79,1,8,63.80638064,12.9,15.867
299,01/14/20 02:14:03,1.79,67,0,91,726.0726073,12.9,15.867
300,01/14/20 02:33:03,1.53,86,3,0,0,13.15,16.1745
301,01/14/20 02:34:03,1.66,83,1,0,0,13.15,16.1745
302,01/14/20 02:35:03,1.66,73,1,0,0,13.15,16.1745
303,01/14/20 02:37:03,1.66,76,1,0,0,13.15,16.1745
304,01/14/20 02:38:03,1.66,76,2,0,0,10.84,13.3332
305,01/14/20 02:40:03,1.53,78,1,6,47.30473047,10.84,13.3332
306,01/14/20 02:43:03,1.28,82,1,11,86.90869087,12.9,15.867
307,01/14/20 02:45:03,1.28,91,1,9,71.50715072,12.9,15.867
308,01/14/20 02:47:03,1.28,96,0,17,135.3135314,12.9,15.867
309,01/14/20 02:48:03,1.28,70,0,0,0,12.9,15.867
310,01/14/20 02:49:03,1.28,70,0,0,0,12.38,15.2274
311,01/14/20 02:51:03,1.28,70,0,0,0,12.38,15.2274
312,01/14/20 02:53:03,1.28,70,0,0,0,12.38,15.2274
313,01/14/20 02:54:03,1.28,85,1,0,0,12.38,15.2274
314,01/14/20 02:55:03,1.28,75,1,0,0,12.9,15.867
315,01/14/20 02:56:03,1.28,107,0,76,609.4609461,12.9,15.867
316,01/14/20 03:00:03,1.28,102,0,60,315.7315732,12.9,15.867
317,01/14/20 03:01:03,1.28,87,1,96,713.9713971,12.9,15.867
318,01/14/20 03:06:03,1.28,116,1,109,834.9834983,13.92,17.1216
319,01/14/20 03:07:03,1.28,115,1,111,877.8877888,13.92,17.1216
320,01/14/20 03:08:03,1.28,94,1,111,944.9944994,13.92,17.1216
321,01/14/20 03:26:03,1.28,84,1,106,900.990099,13.92,17.1216
322,01/14/20 03:49:03,1.28,94,1,106,830.5830583,13.15,16.1745
323,01/14/20 03:50:03,1.28,84,1,103,871.2871287,13.15,16.1745
324,01/14/20 03:51:03,1.28,91,1,109,922.9922992,13.15,16.1745
325,01/14/20 04:55:03,1.28,78,1,110,941.6941694,13.15,16.1745
326,01/14/20 04:56:03,1.28,83,1,108,917.4917492,13.92,17.1216
327,01/14/20 05:24:03,1.28,78,1,108,891.0891089,13.92,17.1216
328,01/14/20 05:40:03,1.28,84,2,111,887.7887789,13.92,17.1216
329,01/14/20 06:34:03,1.28,84,2,109,914.1914191,13.92,17.1216
330,01/14/20 06:35:03,1.28,86,1,109,917.4917492,13.41,16.4943
331,01/14/20 06:52:03,1.28,85,1,104,760.1760176,13.41,16.4943
332,01/14/20 06:55:03,1.28,97,1,89,606.1606161,13.41,16.4943
333,01/14/20 06:56:03,1.28,78,2,0,0,13.41,16.4943
